site,tomst_id,start_date,end_date,probl
RA055,94204784,2020-05-27,2020-07-24,2
RA055,94204784,2020-07-25,2021-08-30,6
RA057,94204780,2020-05-27,2020-07-24,2
RA057,94204780,2020-07-25,2021-08-10,6
RA057,94204780,2022-07-20,2022-08-01,3
RA058,94204776,2020-05-27,2020-07-24,2
RA058,94204776,2020-07-25,2021-08-10,6
RA059,94204783,2020-05-27,2020-07-24,2
RA059,94204783,2020-07-25,2021-08-10,6
RA060,94204781,2020-05-27,2020-07-24,2
RA060,94204781,2020-07-25,2021-08-10,6
RA060,94204781,2022-07-22,2022-08-01,3
RA061,94204782,2020-05-27,2020-07-24,2
RA061,94204782,2020-07-25,2021-07-23,6
RA061,94204782,2021-07-24,2021-08-02,2
RA062,94204778,2020-05-27,2020-07-24,2
RA062,94204778,2020-07-25,2021-06-10,6
RA062,94204778,2021-06-11,2021-07-23,9
RA062,94204778,2021-07-24,2021-08-02,2
RA063,94204804,2020-05-27,2020-07-25,2
RA063,94204804,2020-07-26,2021-08-08,6
RA064,94204803,2020-05-27,2020-07-25,2
RA064,94204803,2020-07-26,2021-08-08,6
RA064,94204803,2021-08-11,2022-08-02,1
RA065,94204789,2020-05-27,2020-07-25,2
RA065,94204789,2020-07-26,2021-08-08,6
RA066,94204788,2020-05-27,2020-07-25,2
RA066,94204788,2020-07-26,2021-08-08,6
RA067,94204801,2020-05-27,2020-07-25,2
RA067,94204801,2020-07-26,2021-08-08,6
RA068,94204802,2020-05-27,2020-07-25,2
RA068,94204802,2020-07-26,2021-08-08,6
RA069,94204791,2020-05-27,2020-07-26,2
RA069,94204791,2020-07-27,2021-08-15,6
RA069,94204791,2022-07-22,2022-08-10,3
RA070,94204795,2020-05-27,2020-07-26,2
RA070,94204795,2020-07-27,2021-08-15,6
RA071,94204792,2020-05-27,2020-07-26,2
RA071,94204792,2020-07-27,2021-08-15,6
RA072,94204793,2020-05-27,2020-07-26,2
RA072,94204793,2020-07-27,2021-08-15,6
RA072,94204793,2022-05-10,2022-08-14,9
RA073,94204790,2020-05-27,2020-07-27,2
RA073,94204790,2020-07-28,2021-08-24,6
RA073,94204790,2022-06-12,2022-08-01,9
RA074,94204787,2020-05-27,2020-07-27,2
RA074,94204787,2020-07-28,2021-08-24,6
RA075,94204794,2020-05-27,2020-07-27,2
RA075,94204794,2020-07-28,2021-08-24,6
RA076,94204798,2020-05-27,2020-07-27,2
RA076,94204798,2020-07-28,2021-08-24,6
RA077,94204799,2020-05-27,2020-07-28,2
RA077,94204799,2020-07-29,2021-08-30,6
RA077,94204799,2022-05-23,2022-08-16,1
RA078,94204797,2020-05-27,2020-07-28,2
RA078,94204797,2020-07-29,2021-08-30,6
