tomst_id,T1,T2,T3
94204744,0,0.1124,-0.0803
94204743,0.0218,-0.0864,0
94204741,0,-4e-04,0.0311
94204742,0,0.0016,-0.1712
94204745,0.162,-0.019,0
94204737,0,0.2196,-0.0374
94204738,0,0.0455,-0.0736
94204733,0,-0.0291,0.0205
94181317,-0.0546,0,0.3526
94181311,1.3861,0,-0.1571
94181625,0,0.0175,-0.0958
94181319,0.9382,0,-0.1698
94181610,-0.1513,0.3745,0
94181620,0,-0.1634,0.1211
94181619,-0.0398,0.0111,0
94181301,0,0.1196,-0.0376
94181621,-0.0046,0.1762,0
94181617,0.0722,-0.0201,0
94181616,-0.0212,0.0375,0
94181626,0.2942,0,-0.0463
94181615,0,-0.1014,0.3406
94181305,0.0648,0,-0.0089
94181307,0.4088,0,-0.0904
94181306,-0.2882,0,0.0448
94181304,0,-0.1479,0.0332
94181623,-0.0424,0,0.1575
94181309,-0.1904,0,0.1256
94181611,0.1998,0,-0.0589
94181614,0.417,0,-0.1411
94181618,0.3971,-0.1073,0
94181612,0.0326,-0.0422,0
94214996,0,0.2356,-0.0865
94181318,-0.178,0.0423,0
94181310,-0.0327,0.0425,0
94181629,-0.1158,0,0.1557
94181316,0,0.0407,-0.1005
94181308,0,0.0528,-0.1298
94181630,0.0177,0,-0.1683
94181315,0,-0.0752,0.04
94181320,0.6702,-0.0435,0
94181312,-0.2174,0.0331,0
94181609,0,-0.0116,0.0025
94181314,-0.463,0,0.0023
94181313,0.1906,0,-0.0841
94181605,-0.0019,0,0.2404
94181627,0,0.0454,-0.1514
94181303,0.6377,0,-0.0344
94181603,-0.1255,0.1821,0
94181628,0,-0.0528,0.0884
94204722,-0.2959,0.0172,0
94181302,1.1774,-0.0789,0
94181607,-0.7167,0,0.046
94181604,0,0.0097,-0.1372
94181606,0.0974,-0.0486,0
94181622,-0.0729,0.2116,0
94181602,-0.1811,0,0.0097
94214997,0.0514,0,-0.2686
94181601,-0.4007,0.1061,0
94181608,0.155,0,-0.175
94181624,0.0473,-0.0307,0
94194387,0.1096,-0.0241,0
94194265,-0.0322,0,0.0305
94194242,0.1357,-0.0576,0
94194245,0.2269,0,-0.0738
94194246,0.072,0,-0.0173
94194250,0.0575,-0.1703,0
94194276,0,-0.0239,0.01
94194277,0.1244,0,-0.0378
94194412,0.0639,-0.0772,0
94194271,0.3073,0,-0.0237
94194275,0.0803,0,-0.0328
94194272,0.2118,0,-0.0144
94194259,0.1635,0,-0.0333
94194249,0,-0.0845,0.0057
94194266,0.1864,0,-0.0357
94194269,0.0538,0,-0.0513
94194241,0,-0.0622,0.0176
94194381,0,-0.0822,0.0281
94194263,0.1446,0,-0.1045
94194416,0.0869,0,-0.034
94194386,0.237,-0.0169,0
94194414,0,0.0433,-0.0619
94194268,0.1386,-0.1208,0
94194280,0.0276,-0.0031,0
94194417,0,-0.0801,0.0161
94194270,0.1306,-0.0018,0
94194388,0.2512,0,-0.013
94194420,0.1066,0,-0.089
94194274,0.0577,-0.0686,0
94194415,0.3203,-0.0315,0
94194390,0.1495,0,-0.033
94194382,0.0758,0,-0.0372
94194383,0,0.0269,-0.1087
94194244,0.2375,-0.0127,0
94194393,1e-04,0,-0.1492
94194264,0.1287,-0.0779,0
94194247,0.1559,0,-0.017
94194257,0.1446,-0.0906,0
94194278,0.1234,0,-0.0208
94194418,0.1432,-0.033,0
94194248,0.0289,0,-0.0807
94194389,0.0742,0,-0.0466
94194279,0.0084,0,-0.0213
94194419,0,0.0191,-0.0998
94194273,0.1945,0,-0.0526
94194411,0.2292,-0.0399,0
94194385,0.1465,-0.1111,0
94194413,0.2133,0,-0.0336
94194384,0,0.0064,-0.1073
94204756,-0.0743,0,0.0986
94204759,0,0.1126,-0.0793
94204758,0,-5e-04,0.1557
94204757,0.0199,-0.0287,0
94204760,-0.0025,0.049,0
94204772,0,-0.005,0.0264
94204774,0.1099,-0.0135,0
94204773,-0.0879,0.0681,0
94204771,0,-0.0358,0.0421
94204775,-0.0118,0,0.0875
94204770,0.0722,0,-0.1015
94204766,0,0.0853,-0.0209
94204768,0,-0.0239,0.0296
94204769,-0.0873,0.0093,0
94204767,0.005,-0.0031,0
94204755,-0.0196,0.0397,0
94204754,0,0.051,-0.1431
94204753,-0.1274,0.0206,0
94204752,-0.0426,0.0228,0
94204751,0,0.0357,-0.0699
94184805,-0.0946,0.201,0
94184803,0,0.0911,-0.0134
94184801,0,0.0425,-0.0937
94184855,0,-0.2075,0.0307
94184856,0,-0.0293,0.052
94194307,0.139,-0.0236,0
94194303,0.0771,0,-0.1284
94194310,0.1273,0,-0.0273
94184809,0.1219,-0.048,0
94194305,0.1379,-0.1113,0
94184842,0.1948,0,-0.0445
94184841,0,0.1063,-0.0612
94194308,0,-0.0933,0.0248
94184854,0.0435,-0.0872,0
94184860,0.1262,-0.0053,0
94184853,0.0051,-0.1236,0
94184857,-0.0398,0,0.0039
94184806,-0.0186,0,0.0038
94184802,0,0.0494,-0.0512
94184804,-0.0254,0.0379,0
94184807,0.0756,0,-0.0053
94184858,0,0.0736,-0.0678
94184851,0.1707,0,-0.0909
94184859,-0.0356,0.168,0
94194301,0.0431,-0.1127,0
94194306,0.0769,-0.0298,0
94194302,0.0721,0,-0.0264
94184843,-0.0162,0.0379,0
94184844,-0.0825,0.0227,0
94184846,0.0763,-0.1271,0
94194309,0.1363,0,-0.0354
94194289,0,-0.0259,0.1616
94184808,0,0.0653,-0.0253
94184810,-0.0497,0,0.0328
94194281,0,-0.0164,0.0123
94194284,-0.0674,0,0.0696
94194283,0,-0.0335,0.009
94194282,0.1556,-0.0076,0
94194285,-0.1032,0,0.1584
94194288,-0.031,0,0.0078
94184847,0.0845,0,-0.0127
94184845,0.1052,0,-0.0563
94184848,0,0.037,-0.0703
94184850,0,0.0913,-0.0122
94184849,-0.0945,0,0.0376
94194304,-0.099,0,0.099
94194290,0.1211,-0.117,0
94194286,0.0041,0,-0.0373
94194287,0.265,-0.0013,0
94194379,0.0688,0,-0.19
94194398,0.0682,0,-0.0794
94194373,-0.0405,0,0.1074
94194253,0.0723,-0.1381,0
94194368,0.0331,0,-0.0594
94190042,0.0252,-0.0516,0
